Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD13A2_061_Line_Y_1km,MYD13A2_061_Sample_X_1km,MYD13A2_061__1_km_16_days_NDVI,MYD13A2_061__1_km_16_days_VI_Quality,MYD13A2_061__1_km_16_days_VI_Quality_bitmask,MYD13A2_061__1_km_16_days_VI_Quality_MODLAND,MYD13A2_061__1_km_16_days_VI_Quality_MODLAND_Description,MYD13A2_061__1_km_16_days_VI_Quality_VI_Usefulness,MYD13A2_061__1_km_16_days_VI_Quality_VI_Usefulness_Description,MYD13A2_061__1_km_16_days_VI_Quality_Aerosol_Quantity,MYD13A2_061__1_km_16_days_VI_Quality_Aerosol_Quantity_Description,MYD13A2_061__1_km_16_days_VI_Quality_Adjacent_cloud_detected,MYD13A2_061__1_km_16_days_VI_Quality_Adjacent_cloud_detected_Description,MYD13A2_061__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction,MYD13A2_061__1_km_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MYD13A2_061__1_km_16_days_VI_Quality_Mixed_Clouds,MYD13A2_061__1_km_16_days_VI_Quality_Mixed_Clouds_Description,MYD13A2_061__1_km_16_days_VI_Quality_Land/Water_Mask,MYD13A2_061__1_km_16_days_VI_Quality_Land/Water_Mask_Description,MYD13A2_061__1_km_16_days_VI_Quality_Possible_snow/ice,MYD13A2_061__1_km_16_days_VI_Quality_Possible_snow/ice_Description,MYD13A2_061__1_km_16_days_VI_Quality_Possible_shadow,MYD13A2_061__1_km_16_days_VI_Quality_Possible_shadow_Description
Bangladesh,5,24.0,90.0,2003-05-01,h26v06,719.0,266.0,0.5833,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-05-17,h26v06,719.0,266.0,0.5551,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-06-02,h26v06,719.0,266.0,0.4854,3478.0,0b0000110110010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-06-18,h26v06,719.0,266.0,0.3013,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-07-04,h26v06,719.0,266.0,0.1287,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-07-20,h26v06,719.0,266.0,0.4892,2441.0,0b0000100110001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-08-05,h26v06,719.0,266.0,0.1534,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-08-21,h26v06,719.0,266.0,0.0105,35094.0,0b1000100100010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2003-09-06,h26v06,719.0,266.0,0.1865,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-09-22,h26v06,719.0,266.0,0.6906,35221.0,0b1000100110010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2003-10-08,h26v06,719.0,266.0,0.6405,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality (0100),0b11,High,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-10-24,h26v06,719.0,266.0,0.5612,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-11-09,h26v06,719.0,266.0,0.4227,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-11-25,h26v06,719.0,266.0,0.478,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-12-11,h26v06,719.0,266.0,0.4889,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2003-12-27,h26v06,719.0,266.0,0.5808,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-01-09,h26v06,719.0,266.0,0.5333,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-01-25,h26v06,719.0,266.0,0.5537,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-02-10,h26v06,719.0,266.0,0.431,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-02-26,h26v06,719.0,266.0,0.4153,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-03-13,h26v06,719.0,266.0,0.5652,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-03-29,h26v06,719.0,266.0,0.6348,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-04-14,h26v06,719.0,266.0,0.5243,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-04-30,h26v06,719.0,266.0,0.5476,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-05-16,h26v06,719.0,266.0,0.4777,2372.0,0b0000100101000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-06-01,h26v06,719.0,266.0,0.5094,3222.0,0b0000110010010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-06-17,h26v06,719.0,266.0,0.511,2062.0,0b0000100000001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-07-03,h26v06,719.0,266.0,0.3952,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-07-19,h26v06,719.0,266.0,-0.1757,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-08-04,h26v06,719.0,266.0,0.1993,36330.0,0b1000110111101010,0b10,"Pixel produced, but most probably cloudy",0b1010,Decreasing quality (1010),0b11,High,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2004-08-20,h26v06,719.0,266.0,0.1885,2442.0,0b0000100110001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-09-05,h26v06,719.0,266.0,0.5682,36258.0,0b1000110110100010,0b10,"Pixel produced, but most probably cloudy",0b1000,Decreasing quality (1000),0b10,Average,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2004-09-21,h26v06,719.0,266.0,0.5046,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-10-07,h26v06,719.0,266.0,0.5696,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-10-23,h26v06,719.0,266.0,0.5669,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-11-08,h26v06,719.0,266.0,0.4205,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-11-24,h26v06,719.0,266.0,0.5586,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-12-10,h26v06,719.0,266.0,0.4529,2253.0,0b0000100011001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b11,High,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2004-12-26,h26v06,719.0,266.0,0.576,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-01-09,h26v06,719.0,266.0,0.5576,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-01-25,h26v06,719.0,266.0,0.4356,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-02-10,h26v06,719.0,266.0,0.3203,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-02-26,h26v06,719.0,266.0,0.4984,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-03-14,h26v06,719.0,266.0,0.6694,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-03-30,h26v06,719.0,266.0,0.6716,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-04-15,h26v06,719.0,266.0,0.5349,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-05-01,h26v06,719.0,266.0,0.4518,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-05-17,h26v06,719.0,266.0,0.4558,2446.0,0b0000100110001110,0b10,"Pixel produced, but most probably cloudy",0b0011,Decreasing quality (0011),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-06-02,h26v06,719.0,266.0,0.5155,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-06-18,h26v06,719.0,266.0,0.5845,2442.0,0b0000100110001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-07-04,h26v06,719.0,266.0,0.362,3094.0,0b0000110000010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b00,Climatology,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-07-20,h26v06,719.0,266.0,0.5262,3478.0,0b0000110110010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-08-05,h26v06,719.0,266.0,0.6425,3478.0,0b0000110110010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b1,Yes,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-08-21,h26v06,719.0,266.0,0.493,3222.0,0b0000110010010110,0b10,"Pixel produced, but most probably cloudy",0b0101,Decreasing quality (0101),0b10,Average,0b0,No,0b0,No,0b1,Yes,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-09-06,h26v06,719.0,266.0,0.577,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-09-22,h26v06,719.0,266.0,0.5269,2058.0,0b0000100000001010,0b10,"Pixel produced, but most probably cloudy",0b0010,Decreasing quality (0010),0b00,Climatology,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-10-08,h26v06,719.0,266.0,0.7242,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-10-24,h26v06,719.0,266.0,0.6811,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-11-09,h26v06,719.0,266.0,0.569,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-11-25,h26v06,719.0,266.0,0.5102,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-12-11,h26v06,719.0,266.0,0.5339,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2005-12-27,h26v06,719.0,266.0,0.5242,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-01-09,h26v06,719.0,266.0,0.4685,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-01-25,h26v06,719.0,266.0,0.4199,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-02-10,h26v06,719.0,266.0,0.4503,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-02-26,h26v06,719.0,266.0,0.4936,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-03-14,h26v06,719.0,266.0,0.6435,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-03-30,h26v06,719.0,266.0,0.618,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-04-15,h26v06,719.0,266.0,0.4966,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-05-01,h26v06,719.0,266.0,0.5231,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2006-05-17,h26v06,719.0,266.0,0.5146,2116.0,0b0000100001000100,0b00,"VI produced, good quality",0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
