Category,ID,Latitude,Longitude,Date,SMAP_Tile,SPL3SMP_E_006_Line_Y_9.00805km,SPL3SMP_E_006_Sample_X_9.00805km,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Recommended_Quality_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Attempted_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Successful_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Retrieval_Successful_FT_Description,SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_retrieval_qual_flag_Undefined_Description
Bangladesh,5,24.0,90.0,2015-04-10,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-11,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-12,h00v00,481.0,2892.0,0.2517771,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-13,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-14,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-15,h00v00,481.0,2892.0,0.2221622,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-16,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-17,h00v00,481.0,2892.0,0.2086372,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-18,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-19,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-20,h00v00,481.0,2892.0,0.2529516,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-21,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-22,h00v00,481.0,2892.0,0.2471517,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-23,h00v00,481.0,2892.0,0.2853232,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-24,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-25,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-26,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-27,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-28,h00v00,481.0,2892.0,0.2575412,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-04-29,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-04-30,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-01,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-02,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-03,h00v00,481.0,2892.0,0.2199819,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-04,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-05,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-06,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-07,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-08,h00v00,481.0,2892.0,0.2573764,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-09,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-10,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-11,h00v00,481.0,2892.0,0.2240005,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-12,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-14,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-15,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-16,h00v00,481.0,2892.0,0.3024151,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-17,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-18,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-19,h00v00,481.0,2892.0,0.2964112,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-20,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-21,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-22,h00v00,481.0,2892.0,0.2675044,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-23,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-24,h00v00,481.0,2892.0,0.2973034,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-25,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-26,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-27,h00v00,481.0,2892.0,0.3154243,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-28,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-29,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-05-30,h00v00,481.0,2892.0,0.3784049,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-05-31,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-01,h00v00,481.0,2892.0,0.343106,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-02,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-03,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-04,h00v00,481.0,2892.0,0.4064719,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-05,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-06,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-07,h00v00,481.0,2892.0,0.3602258,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-08,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-09,h00v00,481.0,2892.0,0.3349266,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-10,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-11,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-12,h00v00,481.0,2892.0,0.4313316,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-13,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-14,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-15,h00v00,481.0,2892.0,0.5225239,9.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-16,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-17,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-18,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-19,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-20,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-21,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-22,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-23,h00v00,481.0,2892.0,0.4683659,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-24,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-25,h00v00,481.0,2892.0,0.4925029,9.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-26,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-27,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-28,h00v00,481.0,2892.0,0.513987,9.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-06-29,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-06-30,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-01,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-02,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-03,h00v00,481.0,2892.0,0.4622465,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-04,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-05,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-06,h00v00,481.0,2892.0,0.460252,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-07,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-08,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-09,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-10,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-11,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-12,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-13,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-14,h00v00,481.0,2892.0,0.4645191,8.0,Soil moisture retrieval has recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-15,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-16,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-17,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-18,h00v00,481.0,2892.0,-9999.0,7.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was skipped,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was successful,Not used
Bangladesh,5,24.0,90.0,2015-07-19,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
Bangladesh,5,24.0,90.0,2015-07-20,h00v00,481.0,2892.0,0.5245699,13.0,Soil moisture retrieval doesn't have recommended quality,Soil moisture retrieval was attempted,Soil moisture retrieval was not successful,Freeze/thaw state retrieval was not successful,
