Category,ID,Latitude,Longitude,Date,MODIS_Tile,VNP13A1_002_Line_Y_500m,VNP13A1_002_Sample_X_500m,VNP13A1_002_500_m_16_days_NDVI,VNP13A1_002_500_m_16_days_VI_Quality,VNP13A1_002_500_m_16_days_VI_Quality_bitmask,VNP13A1_002_500_m_16_days_VI_Quality_MODLAND,VNP13A1_002_500_m_16_days_VI_Quality_MODLAND_Description,VNP13A1_002_500_m_16_days_VI_Quality_VI_usefulness,VNP13A1_002_500_m_16_days_VI_Quality_VI_usefulness_Description,VNP13A1_002_500_m_16_days_VI_Quality_Aerosol_quantity,VNP13A1_002_500_m_16_days_VI_Quality_Aerosol_quantity_Description,VNP13A1_002_500_m_16_days_VI_Quality_Adjacent_cloud_detected,VNP13A1_002_500_m_16_days_VI_Quality_Adjacent_cloud_detected_Description,VNP13A1_002_500_m_16_days_VI_Quality_Atmosphere_BRDF_correction,VNP13A1_002_500_m_16_days_VI_Quality_Atmosphere_BRDF_correction_Description,VNP13A1_002_500_m_16_days_VI_Quality_Mixed_clouds,VNP13A1_002_500_m_16_days_VI_Quality_Mixed_clouds_Description,VNP13A1_002_500_m_16_days_VI_Quality_Land/Water_flag,VNP13A1_002_500_m_16_days_VI_Quality_Land/Water_flag_Description,VNP13A1_002_500_m_16_days_VI_Quality_Possible_snow/ice,VNP13A1_002_500_m_16_days_VI_Quality_Possible_snow/ice_Description,VNP13A1_002_500_m_16_days_VI_Quality_Possible_shadow,VNP13A1_002_500_m_16_days_VI_Quality_Possible_shadow_Description
Bangladesh,5,24.0,90.0,2012-08-12,h26v06,1439.0,532.0,0.8118,35029.0,0b1000100011010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2012-08-20,h26v06,1439.0,532.0,0.8118,35029.0,0b1000100011010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2012-08-28,h26v06,1439.0,532.0,0.3287,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-09-05,h26v06,1439.0,532.0,0.3287,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-09-13,h26v06,1439.0,532.0,0.8132,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-09-21,h26v06,1439.0,532.0,0.8132,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-09-29,h26v06,1439.0,532.0,0.7556,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-10-07,h26v06,1439.0,532.0,0.7556,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-10-15,h26v06,1439.0,532.0,0.6634,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-10-23,h26v06,1439.0,532.0,0.6634,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-10-31,h26v06,1439.0,532.0,0.5513,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-11-08,h26v06,1439.0,532.0,0.5513,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-11-16,h26v06,1439.0,532.0,0.5244,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-11-24,h26v06,1439.0,532.0,0.3349,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-12-02,h26v06,1439.0,532.0,0.5721,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-12-10,h26v06,1439.0,532.0,0.5721,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-12-18,h26v06,1439.0,532.0,0.5579,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2012-12-26,h26v06,1439.0,532.0,0.5579,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-01-01,h26v06,1439.0,532.0,0.5105,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-01-09,h26v06,1439.0,532.0,0.5376,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-01-17,h26v06,1439.0,532.0,0.5376,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-01-25,h26v06,1439.0,532.0,0.5336,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-02-02,h26v06,1439.0,532.0,0.5358,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-02-10,h26v06,1439.0,532.0,0.4277,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-02-18,h26v06,1439.0,532.0,0.4277,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-02-26,h26v06,1439.0,532.0,0.4114,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-03-06,h26v06,1439.0,532.0,0.5688,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-03-14,h26v06,1439.0,532.0,0.6138,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-03-22,h26v06,1439.0,532.0,0.7029,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-03-30,h26v06,1439.0,532.0,0.7029,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-04-07,h26v06,1439.0,532.0,0.7018,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-04-15,h26v06,1439.0,532.0,0.7344,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-04-23,h26v06,1439.0,532.0,0.7344,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-05-01,h26v06,1439.0,532.0,0.722,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-05-09,h26v06,1439.0,532.0,0.722,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-05-17,h26v06,1439.0,532.0,0.8753,35029.0,0b1000100011010101,0b01,"VI produced, but check other QA",0b0101,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2013-05-25,h26v06,1439.0,532.0,0.671,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-06-02,h26v06,1439.0,532.0,0.6753,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-06-10,h26v06,1439.0,532.0,0.6753,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-06-18,h26v06,1439.0,532.0,0.6607,34957.0,0b1000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2013-06-26,h26v06,1439.0,532.0,0.7296,34961.0,0b1000100010010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2013-07-04,h26v06,1439.0,532.0,0.7466,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-07-12,h26v06,1439.0,532.0,0.7466,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-07-20,h26v06,1439.0,532.0,0.5491,35293.0,0b1000100111011101,0b01,"VI produced, but check other QA",0b0111,Decreasing quality,0b11,High,0b1,Yes,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2013-07-28,h26v06,1439.0,532.0,0.5253,35149.0,0b1000100101001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b01,Low,0b1,Yes,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2013-08-05,h26v06,1439.0,532.0,0.5253,35149.0,0b1000100101001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b01,Low,0b1,Yes,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b1,Yes
Bangladesh,5,24.0,90.0,2013-08-13,h26v06,1439.0,532.0,0.7828,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-08-21,h26v06,1439.0,532.0,0.7828,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-08-29,h26v06,1439.0,532.0,0.9089,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-09-06,h26v06,1439.0,532.0,0.7384,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-09-14,h26v06,1439.0,532.0,0.7384,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-09-22,h26v06,1439.0,532.0,0.8405,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-09-30,h26v06,1439.0,532.0,0.8166,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-10-08,h26v06,1439.0,532.0,0.8166,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-10-16,h26v06,1439.0,532.0,0.7921,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-10-24,h26v06,1439.0,532.0,0.7921,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-11-01,h26v06,1439.0,532.0,0.5996,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-11-09,h26v06,1439.0,532.0,0.5996,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-11-17,h26v06,1439.0,532.0,0.4599,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-11-25,h26v06,1439.0,532.0,0.4599,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-12-03,h26v06,1439.0,532.0,0.4985,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-12-11,h26v06,1439.0,532.0,0.4985,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-12-19,h26v06,1439.0,532.0,0.5859,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2013-12-27,h26v06,1439.0,532.0,0.5859,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2014-01-01,h26v06,1439.0,532.0,0.5131,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2014-01-09,h26v06,1439.0,532.0,0.5131,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2014-01-17,h26v06,1439.0,532.0,0.6209,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2014-01-25,h26v06,1439.0,532.0,0.6209,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
Bangladesh,5,24.0,90.0,2014-02-02,h26v06,1439.0,532.0,0.5751,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,land no desert,0b0,No,0b0,No
